[train]
7JYX_3 1O65_1 6KYF_1 5HKO_1 5L8V_1 3TZT_1 4OZ7_1 5YIP_2 4ES7_1 1TA9_1 
4XGO_1 5K35_1 2PIM_1 2AUW_1 4Z6S_1 3OQC_1 4N8H_1 4RU3_1 1WUD_1 1UP0_1 
3LJN_1 1JQQ_1 5IKJ_2 5EX2_1 7D2W_1 3K2G_1 7CCF_1 5ZGC_2 3KTB_1 3EGA_1 
1H5Q_1 5VJ1_1 2WJR_1 1BGG_1 1XHB_1 5KOA_2 3EGH_2 1TXU_1 1Y07_1 3OB2_1 
7L15_1 4YCD_1 1UAW_1 6WCD_1 3EWP_1 5OXW_2 4HTM_1 4YN8_1 1GFY_1 1ULR_1 
3DKS_2 2CO1_2 1A0R_3 5ESX_1 6P5B_1 5EW6_1 3CPT_2 6EHD_1 2BP5_2 1ITH_1 
2YWA_1 3HSI_1 4R60_1 2YKD_1 6TJ3_1 3ZVS_1 1RLH_1 1FX4_1 5FWW_2 3HWN_1 
3VYI_1 3CBT_1 6CR0_1 2OT0_2 6CP0_1 6S21_1 3HPS_1 2YWL_1 6NMY_2 6NKI_1 
1K5G_2 7CAQ_1 6IQ1_1 5YKT_1 3UX3_1 5N89_2 7N1J_1 3THR_1 3LW5_11 5NLA_1 
3ZLC_1 2VN6_2 3E8O_1 4EC2_1 5J4E_1 1U2Q_1 5C5G_1 7VW2_1 3IAM_3 7XW1_1 
3EOO_1 6CV6_1 2CI9_2 3F6H_1 4B4Y_1 6PC0_1 3SMS_1 6SB4_1 7KXR_1 2A2C_1 
2YXQ_2 3WQO_1 2PN0_1 7EP8_1 4JE3_2 1JPX_1 2Q30_1 4FI9_2 4D6T_5 2DXL_1 
3IF8_1 6SIJ_1 2Y9G_1 1X8S_2 6WIX_3 1THX_1 6SVC_1 5FDW_3 3MDO_1 6O35_1 
2IW1_1 2KCX_1 5BR1_1 1KJ0_1 5L6F_1 7EQX_1 1IXR_2 2WZE_1 6GFF_1 5G38_1 
5TX6_1 6KMW_1 4YXB_3 6AR2_2 2R57_1 4MQD_1 4FQ0_2 6HBA_1 6B5T_1 3P9V_1 
6WO1_1 3NI7_1 4CGY_1 7DVY_2 1U2K_1 4CC4_1 6P2S_3 5TII_1 3LXX_1 7AB3_3 
1WBX_3 3LHL_1 3DF7_1 6M0P_1 6ZQS_2 6AVV_1 6BXI_1 1ROW_1 2X5C_1 4BBJ_1 
6OU0_1 1T9Z_1 1XEZ_1 2R60_1 4UYS_1 7F71_1 3N50_1 2FPU_1 1O61_1 4ILG_3 
5XM2_1 6K6W_1 3LO3_1 2VF6_1 3MLF_1 2DRH_1 6QH5_2 5WYJ_58 1AQI_1 5KBC_1 
4RX1_1 6MKS_1 1UEX_2 6OME_1 6DMA_1 4JHM_1 6Q8O_11 3LOY_1 2IOF_1 3IC3_1 
4BT8_1 6V2P_3 3ZWH_2 5IIP_1 3HCZ_1 2VE4_1 3AXK_2 3D1P_1 3OU8_1 2A8E_1 
6BD1_2 2DYQ_1 2GL9_2 5VBF_1 4GLT_1 7QO5_14 3ZXF_1 1O8V_1 7MU2_1 3RGC_1 
1PG5_1 2JET_1 4IMM_1 1NRZ_1 3WSU_1 6DWE_1 2PL9_2 4MM0_1 4IGB_3 2O0M_1 
6SKB_1 5IVD_1 5ZKT_1 3W5J_1 3UC0_1 5FU7_1 3GL3_1 5B58_2 6YEX_1 6PHE_1 
4C8Y_1 7C90_1 2A25_2 1I1N_1 2JH2_1 3EYT_1 3FIU_1 3FP2_2 2ASR_1 6X0A_1 
2X1B_1 4GAH_1 7BXC_1 1GK7_1 5AON_1 5IZE_1 4P22_1 2FWT_1 1XL8_1 3LKE_1 
4O1S_1 2B3T_1 6RLX_1 1OU0_1 2DUY_1 5DU1_1 6HXA_1 5BXY_1 1H8B_1 6Y43_1 
2P9K_4 6UOE_3 3LQ0_1 2VEZ_1 3C8J_1 2XZ4_1 4E2L_1 1V5H_1 6PSK_1 3RBS_1 
3ORJ_1 5L3L_1 5IWW_2 6YTT_1 1H9J_1 6Z14_1 2XPP_2 1ZP6_1 3VHT_2 4JP7_1 
5NKO_1 4RUG_1 3AJ2_1 4U7I_1 3GQH_1 5IAI_1 4MFR_1 4O8K_1 5EZ0_2 2Q5C_1 
4H62_1 3KYZ_1 3VIQ_1 3PET_1 2G0D_1 7XBB_1 5LHY_1 1WV2_1 6KZJ_1 5OK8_1 
6BT9_1 2WKN_1 7PUO_1 4XOJ_2 3V5R_1 7LLE_1 4C0D_3 6OUV_1 1ERJ_1 2I2Q_1 
1E5X_1 7OAT_3 4TSH_1 7WJ9_1 1QDL_1 5FOF_1 7PZG_1 7LEQ_2 3TLJ_1 6P5Q_1 
6AIL_1 1QNF_1 4JOQ_1 3RWK_1 5NC1_1 6QZD_3 6KV2_1 3U50_1 2EZX_1 7MN1_1 
6B9V_1 5E5R_2 6OB3_2 4G94_1 5XGO_1 5VBD_1 1S1G_1 6K2E_1 2P4F_1 6V7O_2 
2W2L_1 6GCZ_1 6KXD_1 6H2V_1 4M8R_1 1SMB_1 4LLD_2 6G0Y_2 2FIW_1 6YKG_1 
2VH9_1 3P9X_1 3R4K_1 5ZOO_2 6UVZ_1 4AFI_1 3CEU_1 5K9T_1 4OPF_1 6VME_4 
3UEN_1 1B9M_1 5Y5R_1 4BXW_2 6UB0_1 6VU9_1 6DLC_1 6E8I_1 4U6D_1 1VK8_1 
4YCA_1 5G4A_1 3D00_1 4PXB_1 7MSJ_1 4NMV_2 4FNV_1 3FCM_1 6X0I_1 2HY7_1 
2EIJ_6 3GWH_1 2GPE_1 1T0H_1 3E3Z_1 1WKC_1 4F9Z_1 5C9Y_1 6KJJ_1 3KYA_1 
3SOY_1 4P0B_2 2H1E_1 4FMN_1 6QM2_1 5YNS_1 7PQ2_1 4G2C_1 2QDE_1 4H7X_1 
6LS5_1 2X74_1 7O61_1 6YHN_1 6IHC_2 5JBF_1 7FGW_1 2O0H_1 4P1N_2 4JN5_1 
6JZN_1 4GI5_1 6JX5_1 3V77_1 5JPO_2 3MGL_1 6C9E_1 5FQU_1 1JDA_1 1W2F_1 
5L3V_1 4TXD_1 6VPN_1 4QMF_2 7F3W_1 2R4H_1 5IKY_1 2FUR_1 3U7R_1 3TVZ_1 
1B35_3 6LCJ_1 4PGH_1 2CIA_1 5JLS_1 3K4G_1 4OV9_1 3MJI_1 7MPY_1 7ZAH_22 
4LUA_1 5EJO_1 7PZD_1 4P9F_1 1SJH_3 5KGL_1 1AUA_1 1UZM_1 3GYR_1 4UXD_1 
4UEB_2 3KUT_2 3E2B_2 5Y2V_1 6FOP_1 6YPL_2 7EWT_1 5HS9_1 2HCU_1 7AY3_1 
4XIN_1 5DYN_2 3AHP_1 6XXW_1 4AY9_2 2FI9_1 1LNS_1 1TRF_1 4EAL_2 5XPV_1 
1JOG_1 6JTG_1 3GTY_1 1TQI_1 2ZU6_2 6KN7_5 3KIF_1 2V2K_1 5CJB_2 2ORX_1 
2IHW_1 2WGM_1 6B67_1 5ED7_1 3U0V_1 5KDM_4 4MXN_1 3HVE_2 6HPR_1 2RCY_1 
6I19_1 7ELV_1 6BSC_1 3TO3_1 6ZQO_1 3SON_1 4WEN_1 6NU7_1 7W5S_1 2GTP_2 
6KD5_1 5FMQ_1 2QNG_1 5H1Z_1 7E3W_1 2EPI_1 2R6U_1 7MKS_1 2PBZ_1 2PBF_1 
5EP6_1 2PYX_1 3RJV_1 6KON_5 4A2B_1 4BVU_1 2YIU_2 2NYE_1 2MA9_1 3C1D_1 
3BRL_2 2JK1_1 7M0O_1 6Y4Y_1 2VXZ_1 5TCK_1 5L9G_1 3LN5_3 7L5A_1 7KPO_1 
4GLL_1 2OXG_2 5WCX_1 7B4Q_1 6BUV_1 3LWC_1 4US5_2 4E1R_1 5JPH_1 2QIE_1 
4O9D_1 1YOW_2 3WIA_1 4J2F_1 4A3U_1 4Z9N_1 3G2F_1 3QWN_1 4YLY_1 4XCA_1 
1D8Z_1 4PN8_1 7MEW_1 4G01_2 7QEZ_1 4RYD_1 5BOB_1 3HFO_1 4X9B_1 2Y6S_3 
5FYG_1 6D0G_1 1W0D_1 6MNZ_1 4B93_2 7LWB_2 5LV4_1 2WAS_1 1ISX_1 7K4M_2 
5O4Y_2 6WT9_1 4MZ6_1 6YXQ_2 5BV0_2 3OUQ_1 3IV7_1 3ANY_2 3U2R_1 6OFB_1 
2WP7_1 5GR8_2 6TPO_1 2C0B_1 6P7S_2 3MN2_1 3HO7_1 6M5N_1 3CJY_1 3WA1_1 
4Q8G_1 2QQ5_1 4GND_1 2BOE_1 4EY3_1 6DVS_1 5H34_1 3KFW_1 2PVP_1 2XW6_1 
5LTX_1 2OEE_1 3A24_1 4DA5_1 5EJW_1 2HTM_1 4GE1_1 1WP8_1 3HWU_1 3VOC_1 
5L9W_3 5IYV_1 4OFO_1 1VP2_1 1OQD_2 5WRJ_2 3C7A_1 1MPY_1 5MCO_2 3EMW_2 
5KBX_2 3COL_1 6ZRX_1 4LRU_1 5WI2_1 6NHL_1 6BQ1_3 3QRH_1 4H5G_1 3F7R_1 
4PFZ_1 2H2H_2 4XEV_2 5W1E_1 5OHZ_1 5HU6_3 4OZK_1 5DMQ_1 5DXV_1 6FB3_1 
6S4C_1 7K3J_2 3SHR_1 7JNE_2 5KUY_3 5IVL_1 4GHU_2 7N0V_3 5YCL_2 5CWG_1 
7CUI_1 3NFN_3 1V5Z_1 5ANZ_1 4AMB_1 6Q10_1 3LD2_1 3AL9_1 6LNR_1 7F6E_1 
2GE7_1 4WHI_1 3O2I_1 1XTE_1 6OX6_2 2Y3A_2 5NE5_1 7AN1_1 2WY3_1 1AYO_1 
6VQE_3 5HXK_1 3LQV_2 6HCN_1 5HQH_1 1X3W_1 6U55_2 3ZRJ_2 4NS4_1 3BCI_1 
2D2S_1 3S9K_1 5FMR_1 6BSU_1 2F46_1 1XXL_1 3QFG_1 5C1M_1 4UF7_1 5AG9_1 
4QNC_1 2APO_1 5J4I_1 5EDL_1 2HV2_1 5YBV_3 4KP4_1 1UMZ_1 5MWQ_2 3IF6_1 
2EQ9_1 6ZIL_1 2W6T_1 3VMQ_1 2HYK_1 4JIU_1 6JJX_2 4CZZ_2 3K41_1 6DHX_1 
3G5O_1 2F7F_1 4J0W_1 5YNL_1 5V7C_1 6ECI_1 2HLD_5 3QTD_1 6VJ6_1 5KVA_1 
4PLN_2 3A1P_1 5D67_1 7BN1_2 4M06_1 2OX8_1 6N0M_1 7D2G_1 3LZA_1 1A8S_1 
6JPL_2 2Q22_1 3JRT_1 4ORR_1 1DPP_1 6SJA_2 4AK2_1 3C38_1 6YLU_2 5XPT_2 
7DVQ_21 2BMX_1 4XJ6_1 4MH6_1 5H7A_1 1HQ6_1 7NNA_1 3VDH_1 3TBK_1 5E6S_1 
2AST_4 3ZR8_1 2REF_1 4PFR_1 4RXL_1 1WVH_1 4N5C_1 5HWT_1 6MSV_1 4GQH_1 
2OD2_2 2BAP_2 3QSQ_1 4R9G_1 6ME1_3 4OVQ_1 5VU0_1 3VRR_2 4NPM_1 6Z1F_3 
5V4F_1 3H6P_1 2YY5_1 4I1O_2 3IEY_1 3TQS_1 6T2R_1 7JX4_1 5UW8_1 1NO1_1 
6LHY_1 5XFT_1 3GHF_1 4EXT_2 6HNV_1 2BVY_1 6K10_1 5O15_1 3G3S_1 4FOB_1 
4EYS_1 1N4A_1 5T0Q_2 5NIK_2 3SNY_1 1DX5_2 4Q05_1 3IBG_1 5JR4_2 3R44_1 
2C7M_1 6L7L_1 5B8A_1 2J42_1 1K82_3 4ZWQ_1 4Y93_1 5E3V_1 6TYT_1 2V9P_1 
4CVD_1 6NPW_2 5ER8_1 1R3D_1 1XBX_1 4A90_1 6Y6I_1 3ZFK_1 6XRB_1 2CZG_1 
7WKH_1 5Y50_1 4CY5_2 5GMT_1 3VFW_3 3S5C_1 3UN1_1 3SD2_1 4HPP_1 4NJ5_1 
5YI8_2 2R0S_1 7S3M_1 1O5W_1 1MWQ_1 6GWC_3 5D6J_2 2AO6_2 7KEV_3 2OTN_1 
3CT8_1 2PVF_2 5OJR_2 6IKN_1 4TRI_1 3M66_1 3DI5_1 5LQP_1 4FPR_1 5JD5_1 
7KOG_1 4EKV_1 3DV0_1 6HQ2_1 6YY3_1 3MIB_1 2QQZ_1 2J8I_1 3HKZ_8 4HH6_2 
2ZOO_1 4U9R_1 4OR5_3 3BPJ_1 3GK5_1 1TKH_1 6GUS_1 1R6Z_1 3OT6_1 2YWQ_1 
4NT2_1 7N2A_1 5OJI_1 5TFM_1 4Q1R_1 3HA4_1 7NNT_2 6TCC_1 3KCC_1 2XYC_1 
4F9E_1 2B9H_2 3KL4_2 3VDP_1 4AIM_1 6K8H_1 5C5E_2 3LMG_1 6EVS_1 6MUD_2 
7CMZ_2 7ST8_3 4DL0_1 3HSL_1 4I0X_2 4H13_5 7SHQ_1 6LPI_1 3E0G_1 2KLB_1 
4H9D_1 1S5E_1 2QYA_1 2WYO_1 7NZM_1 4A12_1 4Q5J_1 3RFW_1 2PNG_1 6NI7_1 
5APG_1 4V2K_1 6HGC_1 5FO3_1 6RPQ_1 7CQ0_1 3P38_1 1VFY_1 2J4B_1 5F64_1 
1JY5_1 3TSN_1 3CBM_2 4OBJ_2 4YIY_1 4LMO_1 4FU4_2 5MOD_1 4W5X_1 4W4R_1 
1ZXT_1 6NRL_1 3MBQ_1 7DA9_1 6RM3_26 6MJC_2 6XY6_1 4X9X_1 3OG9_1 2VM5_1 
1G60_1 3NO1_1 3KSE_2 6A3A_4 4I5T_1 4UDS_1 7SUO_2 2W2A_1 3G87_1 6NVQ_1 
6B2Q_1 4IA6_1 3P1M_1 4I1A_1 4ILV_1 4EFI_1 2PI2_1 6XR2_1 1YFN_1 4O4C_1 
3B1S_1 3OSE_1 7B2A_1 4WFD_1 3KMT_1 2NWB_1 7SBI_1 3WJA_1 7QC0_1 3N9T_1 
2NX9_1 3K3F_1 5N8E_2 4J7O_1 3ADI_1 5JFZ_1 6ZNX_1 3FMA_2 4UKD_1 3D7L_1 
3JV3_1 3O3M_2 3FF7_2 5EU0_1 5GJU_1 2BEQ_1 3GBY_1 7ELF_1 4H79_1 4YBA_1 
7ANK_2 2ZXO_1 2Y8O_2 4JYH_2 4MGK_1 4ICK_1 7E7L_1 5MIY_1 6Y7F_1 2AP3_1 
2GS9_1 6JLO_15 7SZV_1 1ZW3_2 6O60_3 2ZBQ_1 4BBK_1 7DOB_1 6NIV_1 1H6W_2 
3GDG_1 2O6X_1 3O3M_1 5JVV_1 1H8P_1 3NG2_1 4DBB_1 4E7P_1 2HQ8_1 4FIE_1 
5UN8_2 2YJT_2 4TN0_1 3AVO_1 6YXJ_1 3IO1_1 1II2_1 4AJ5_1 4P1W_4 4NJ7_1 
1T7N_1 6O0Q_1 3GYO_1 4AEZ_2 3KKE_1 1SXR_1 5ZPW_2 3NNQ_1 1ZAV_1 3CQ9_1 
6T2S_1 1ASV_1 3BHI_1 4MJ7_1 1A0I_1 3U86_2 3DXP_1 2IWL_1 6SG4_2 4OIB_1 
2OB5_1 2GKG_1 4IJJ_1 3HYK_1 5Y59_1 2LSI_1 6FEY_3 3SNX_1 6HTL_1 4LB0_1 
4G09_1 6A48_1 7FI3_1 1T6T_1 4H3T_1 3QYX_1 4NK7_1 3P46_1 2RI0_1 7LXF_1 
6DBY_1 5J6O_1 5VFY_1 4OOZ_1 2XOK_4 1W4S_1 3SZS_1 3NRA_1 2ZBI_1 4MDD_2 
4TWL_1 4CCN_2 1DTD_1 4G5A_1 1UHL_3 3K8G_1 5Z9S_1 1JEN_2 3C1Y_1 5I33_1 
5AIQ_1 4Q2B_1 3CMI_1 3DRN_1 4ZM9_1 1AUY_1 3M4S_1 1N05_1 2AVU_1 1PPJ_8 
3V4Y_2 3MW6_1 5K1S_1 3HWK_1 4KBQ_2 1Y0K_1 4MNU_1 5B04_5 3TU6_1 3KY7_1 
3MR7_1 5BQE_3 5UCM_1 3CC8_1 2X4L_1 5L03_1 4R0G_1 4YT5_1 5UBP_3 3H95_1 
7K12_1 2XYO_1 2A2F_1 1Y7L_2 2D4E_1 2XA0_1 4I16_1 3FG6_1 3FDM_2 2XG8_2 
5G23_1 6HM8_2 3B7F_1 3K7N_1 4BWQ_2 4JMG_2 3MY9_1 4R5Q_1 7BWU_1 4AVA_1 
2Q9U_1 2GTH_1 4PYR_1 2VDO_3 6E3J_2 2EKC_1 4NZG_1 4V98_4 3UKZ_2 5GYZ_1 
1EB0_1 5WTQ_1 4W4L_3 6R2M_1 6UMG_4 4BWV_1 1SHQ_1 1OVA_1 2HYT_1 3CQC_2 
3QT4_1 7N0I_1 5LGQ_2 3NWP_1 1Z88_1 6FSF_1 4L6U_1 2Y9P_1 2W10_1 3AXE_1 
2OFN_1 6O6L_1 3MCP_1 7EOD_1 5H1D_1 4MJT_2 3L7X_1 6WUC_5 6UKM_1 3O3X_1 
5JBW_1 6SHK_1 6XIO_1 5FMN_1 3UO2_1 4N3X_1 2VKF_1 1SR4_1 2CZN_1 3ES6_2 
6JMI_1 6BSN_1 3FXR_1 4BQD_1 1X0P_1 5VOD_2 4ZCK_1 4KU4_1 6AON_1 7V8G_2 
1LF9_1 4QRO_1 1NFG_1 6ZM0_1 4PUF_1 6EZV_1 6VOY_2 2FTK_1 4Q7K_1 2QTF_1 
4J40_1 6TWC_2 4NUR_1 3C2F_1 6TNY_2 5NJX_1 6S0E_1 3M17_3 5D3F_2 4BOS_1 
5N2B_1 3FMB_1 4BTJ_1 6IMF_2 5WRD_2 5DHS_1 5GV3_1 6H23_1 2RJZ_1 4DW4_1 
2O9I_2 1Q4S_1 5LTG_1 5JH5_1 7RQG_1 6Q8O_12 6ICT_1 1G64_1 6HXP_1 3PLV_2 
3FDH_1 6LGO_1 5IZV_1 1UAY_1 6SGF_1 5LEF_2 4HKF_1 1WQ6_1 4Q9V_1 5MH1_1 
2CWZ_1 3L9J_1 1LVL_1 7DRK_1 4EZN_2 1LML_1 4WO7_1 2X3E_1 7CG9_1 6HZG_1 
5VVW_1 1PY1_1 2NR5_1 1VZY_1 5UUS_1 1ZJK_1 4OJ2_1 5A53_1 1Z4E_1 4RJK_1 
6XI2_6 2HPL_1 3A1H_1 4OIH_2 4PBX_1 1M1J_3 7AKS_2 4LG9_1 2A9I_1 3D7R_1 
7P8K_2 6OS2_1 1XV9_3 3CWI_1 5TVO_2 6M37_1 1DAN_4 5H6Z_1 6B7L_1 4EGX_1 
2FP2_1 3PBP_1 6IAM_2 4HI0_1 5VX6_1 2CFO_1 4L8K_1 4MQT_1 2RJF_2 5KDW_1 
3V48_1 6MEI_1 2F4L_1 2OQJ_3 2WXY_1 1MVF_2 7WB3_1 3QHE_2 5BZB_1 4P7D_1 
2JIK_1 2V5T_1 3DR3_1 2VXO_1 6RAV_1 3EBT_1 6I59_1 1AQY_1 3B64_1 4OFG_1 
6KFW_1 5TS3_1 7OGZ_3 3W9S_1 1WMG_1 5W2J_1 4BY6_1 7NH7_2 7D48_1 4MTQ_1 
7BIQ_2 4NAR_1 5LXF_1 3BF8_1 4DTG_3 3USH_1 5A2E_1 6KXL_1 5YKU_1 2EK0_1 
3S9O_1 3H87_2 6LK3_1 3RFQ_1 4JMH_2 3HR6_1 6IUY_1 1VZM_1 3NEY_1 3K1L_1 
5VMD_1 1YZF_1 6CZK_1 5HCF_1 4NF1_1 1X3W_2 2QKI_4 2O5V_1 5G4I_1 7POJ_2 
3CI0_1 3L4F_1 6DSP_1 4JIX_1 6JLO_5 1JSX_1 6KDC_1 7CCH_1 5FFX_1 4JYS_1 
4N7S_2 1EXC_1 2P6V_1 1ZXJ_1 3O2K_1 1F38_1 1KRQ_1 3PFO_1 3OE0_2 7BM6_1 
5CWK_1 3AUJ_3 5VC1_1 2NPS_3 5TNC_1 3QBR_1 5T1X_1 4C7N_1 3NYB_2 6KQR_1 
5AA7_1 5GGP_2 3NPD_1 5U2J_1 4Q7Q_1 6J19_2 6JZQ_1 5VO1_1 3CEI_1 3FWR_1 
5GL6_1 5A07_1 1L1J_1 4O6J_1 6OX5_1 2GWC_1 4KKI_1 3H05_1 6IJ1_1 7D5N_1 
6SWG_2 4WPF_2 4LIQ_1 4ZBG_1 3Q87_2 3ERB_1 3B8E_2 5AER_2 3GN3_1 1Y96_2 
3I1L_1 2GNU_1 5AGJ_1 2DOK_1 5FNO_1 4JSY_1 3HKL_1 2PCQ_1 2IX5_1 4BWQ_1 
4HFS_1 4RS4_1 2GWR_1 3AJG_1 1XR4_1 3NXP_1 1YA5_1 5YJB_2 7VHY_1 2P9X_1 
6J0Y_2 7LTW_1 4J26_2 5X7B_2 7DZ9_5 4NXY_1 4EI8_1 4CU5_1 2X7R_1 5F1B_3 
2FBQ_1 3O6N_1 7C0F_1 6O53_3 5N69_2 4PUA_1 6UPU_1 1VL0_1 5HWK_1 3I4T_1 
6M01_2 3LFZ_1 5NQG_2 1M6Z_1 6EN3_1 6QTU_2 6QBB_2 1F07_1 7AVN_1 3T40_1 
1T47_1 7C0C_1 3G7G_1 2G9D_1 3HYJ_1 7KIT_1 1LBA_1 2QSA_1 5ZN7_1 4RG8_1 
7KND_1 2V3S_1 4G8X_2 4KE2_1 5MSM_3 2WVQ_1 3D3Y_1 2X0C_1 1AYB_2 1UFH_1 
5W48_1 3RKO_2 4X5W_3 5HBV_2 6E6S_1 1JHE_1 4KDR_1 1G0D_1 4F3W_1 3LYD_1 
3UI2_1 4LK8_1 1UFG_1 6VCF_1 1WPL_1 5B1J_2 4LFU_1 3U8E_1 3B8I_1 4J7B_3 
7NUF_2 4Z63_1 4J6E_1 1WX4_2 1EKX_1 1KZO_3 7L7W_1 1LSH_2 2Q8V_1 5E6K_1 
6OHU_1 4NKP_1 6XWX_1 1A5T_1 4MAA_1 7MC5_1 5Y4R_1 2OOF_1 7EU4_1 5F8T_2 
7T6C_1 4LPY_1 2A3N_1 2O70_1 6VZF_1 3TDI_2 2OYS_1 5AJS_1 6NEE_1 5WWL_2 
2FRE_1 4IRX_1 4CT8_1 3N39_2 2QDQ_1 6H3V_1 3C19_1 2INN_1 4NJM_1 6ET9_1 
3HL4_1 3NHZ_1 6UV6_1 5WC6_1 1ZBO_1 4ZKA_1 2PXX_1 4EA7_1 2I15_1 1W16_1 
3EYE_1 4XRS_5 3ZS3_1 6VHV_1 3UQZ_1 4M24_1 5B58_1 6VLS_1 3MOI_1 5VRQ_1 
2I9U_1 4UYR_1 7KYL_3 2FD4_1 3Q9J_1 4B7T_2 6FCP_2 6WI4_1 7NZD_1 3ER7_1 
3IUX_2 6EU6_1 7EPF_1 3DCX_1 6C0Z_1 4MUP_1 1Q80_1 4BR6_1 4D4M_1 5ZN9_1 
5SVX_1 4DUR_1 1WGB_1 1P0S_1 3ODP_1 4WIJ_1 2OI8_1 2GEF_1 3W0K_1 1BDC_1 
5NMI_10 5HCD_4 4TR1_2 5LXO_1 2XTZ_1 7ZWF_2 3GA1_1 1VPY_1 6RSX_1 4IC5_1 
6T2F_2 1GP1_1 7RY5_1 6D5B_1 1PG6_1 6UNC_1 1JGD_3 1O7D_1 2VN2_1 5B6I_1 
6J04_1 4AY9_3 1FOH_1 5VLA_1 3CAI_1 6N4N_2 3ESL_1 3S4W_1 6R5W_1 7OXG_2 
3WYF_2 6IB7_1 4H2W_2 4N6E_1 6JHQ_1 3BH7_1 3H9N_1 1U59_1 4K78_2 7F5F_1 
6TB5_1 1GNY_1 3U5V_1 7OPM_2 3H2G_1 2XTL_1 3RO8_1 2CXC_1 5KJH_1 5GWE_1 
3RMH_1 6H0P_1 4AXZ_1 7NYK_1 5M60_1 1WP5_1 5O30_1 2XBL_1 6V2E_2 3VRD_2 
5FR9_1 6KDE_2 3X0V_1 2ZII_1 4GN2_1 2F8M_1 7EKX_1 3DA1_1 3MN8_1 4YXD_4 
5OJ7_1 1LPL_1 4V46_1 2CKK_1 6GL7_1 1JCG_1 2CBF_1 4Q98_1 5UCV_1 3Q2Q_1 
6OVI_1 3RST_1 6TD9_1 3MKL_1 4CZD_1 4U7T_1 2EPH_1 5EZN_4 6LBU_2 1TD6_1 
3HRD_3 2P8T_1 5EQJ_1 2D4A_1 5HSZ_2 4C56_6 1ZEI_1 2X6C_1 5XAP_1 1YWF_1 
7RLY_1 1UB9_1 2Z0B_1 2WCV_1 3WTS_3 5KKO_1 6XRW_2 1RTG_1 5MX0_1 4HDN_1 
7S4N_1 4Y1L_2 2X47_1 2HJ1_1 7CI2_1 6EFU_1 3BYQ_1 5LIH_2 6VSJ_2 1Z5Z_1 
1T7R_2 6P4M_1 4R8Z_1 5LP5_2 5Z0W_2 3A3K_1 2BON_1 2A6Y_1 4ELJ_1 3FVF_1 
6FVS_1 2P05_1 7LT1_1 3TX1_1 2IEW_1 3LUS_1 1ZA0_1 3NDY_2 4XYN_1 5YEU_1 
3I1I_1 6EBU_1 3RKV_1 7KQL_3 8DOS_1 1VHZ_1 4YMH_1 7TOC_1 4ZCJ_2 6P22_1 
6LNW_2 3PJY_1 3PNR_2 4IIL_1 3F2E_1 4HH6_1 4NOX_1 3HXK_1 3G82_1 2DPL_1 
4DHD_1 1FOT_1 4JEJ_1 4IUS_1 2GLX_1 3EWG_1 1MW5_1 6EZC_1 1Z7U_1 7NDY_2 
